plugin,kind,path,bytes
review,eval,modules/review/evals/boundary-code-audit-vs-security-ops/graders/expected-agent.md,74
review,eval,modules/review/evals/boundary-code-audit-vs-security-ops/prompt.md,345
review,eval,modules/review/evals/boundary-security-ops-vs-code-audit/graders/expected-agent.md,74
review,eval,modules/review/evals/boundary-security-ops-vs-code-audit/prompt.md,348
review,eval,modules/review/evals/direct-write-tests/graders/expected-agent.md,68
review,eval,modules/review/evals/direct-write-tests/prompt.md,344
review,eval,modules/review/evals/skill-codex-security/graders/expected-skill.md,76
review,eval,modules/review/evals/skill-codex-security/prompt.md,588
review,eval,modules/review/evals/skill-free-roam/graders/expected-skill.md,79
review,eval,modules/review/evals/skill-free-roam/prompt.md,368
review,eval,modules/review/evals/skill-visual-review/graders/expected-skill.md,75
review,eval,modules/review/evals/skill-visual-review/prompt.md,369
review,manifest,modules/review/opencode/manifest.json,75
review,eval,modules/review/skills/code-audit-scripts/evals/benchmark.json,27075
review,eval,modules/review/skills/code-audit-scripts/evals/evals.json,6008
review,eval,modules/review/skills/hunter-skeptic-referee/evals/benchmark.json,14243
review,eval,modules/review/skills/hunter-skeptic-referee/evals/evals.json,2978
web-dev,manifest,modules/web-dev/.claude-plugin/plugin.json,337
web-dev,manifest,modules/web-dev/.codex-plugin/plugin.json,855
web-dev,eval,modules/web-dev/evals/boundary-optimizer-vs-designer/graders/expected-agent.md,72
web-dev,eval,modules/web-dev/evals/boundary-optimizer-vs-designer/prompt.md,339
web-dev,eval,modules/web-dev/evals/skill-chrome-cdp/graders/expected-skill.md,73
web-dev,eval,modules/web-dev/evals/skill-chrome-cdp/prompt.md,369
web-dev,manifest,modules/web-dev/opencode/manifest.json,76
web-dev,eval,modules/web-dev/skills/perf-audit/evals/benchmark.json,15138
web-dev,eval,modules/web-dev/skills/perf-audit/evals/evals.json,3234
core,adapter,opencode/README.md,4514
core,adapter,opencode/catalog.test.ts,5405
core,adapter,opencode/catalog.ts,8498
core,adapter,opencode/hooks.test.ts,7002
core,adapter,opencode/hooks.ts,14813
core,adapter,opencode/index.ts,594
core,adapter,opencode/install.ts,4272
core,manifest,opencode/manifest.json,73
core,manifest,setup/manifest.json,4506
core,eval,skills/auth-md/evals/benchmark.json,28068
core,eval,skills/auth-md/evals/evals.json,6312
core,eval,skills/auth-md/evals/test_probe.py,5963
core,eval,skills/hammertime/evals/benchmark.json,1937
core,eval,skills/hammertime/evals/test_scorer.py,20049
core,eval,skills/hammertime/evals/test_timer.py,15966
core,eval,skills/humanize/evals/benchmark.json,21668
core,eval,skills/humanize/evals/evals.json,10704
