plugin,kind,name,path,source,description_bytes,body_words,body_bytes,tools_bytes,claude_implicit,codex_implicit
research,skill,notebooklm,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/research/skills/notebooklm/SKILL.md,authored,415,597,4651,0,False,True
research,skill,persona,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/research/skills/persona/SKILL.md,authored,270,1360,9931,0,True,True
research,skill,x-research,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/research/skills/x-research/SKILL.md,authored,369,1197,9623,0,True,True
research,skill,x-tweet-fetch,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/research/skills/x-tweet-fetch/SKILL.md,authored,233,78,710,0,True,True
research,skill,x-tweet-search,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/research/skills/x-tweet-search/SKILL.md,authored,276,123,1040,0,True,True
research,skill,x-user-lookup,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/research/skills/x-user-lookup/SKILL.md,authored,199,79,664,0,True,True
research,skill,x-user-timeline,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/research/skills/x-user-timeline/SKILL.md,authored,199,110,924,0,True,True
research,agent,documentation-writer,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/research/agents/documentation-writer.md,authored,342,839,5574,89,,
research,agent,executive-assistant,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/research/agents/executive-assistant.md,authored,345,871,7264,24,,
research,agent,researcher,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/research/agents/researcher.md,authored,390,2522,19108,100,,
review,skill,code-audit-scripts,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/review/skills/code-audit-scripts/SKILL.md,authored,451,272,1970,0,True,True
review,skill,codex-security,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/review/skills/codex-security/SKILL.md,authored,421,1603,10714,0,True,True
review,skill,free-roam-testing,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/review/skills/free-roam-testing/SKILL.md,authored,360,790,5298,0,True,True
review,skill,hunter-skeptic-referee,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/review/skills/hunter-skeptic-referee/SKILL.md,authored,426,825,5568,0,True,True
review,skill,visual-proposal,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/review/skills/visual-proposal/SKILL.md,authored,349,4284,27490,0,True,True
review,skill,visual-review,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/review/skills/visual-review/SKILL.md,authored,373,1925,12478,0,True,True
review,skill,wayfinder,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/review/skills/wayfinder/SKILL.md,third-party,203,1975,11626,0,False,False
review,agent,architecture-reviewer,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/review/agents/architecture-reviewer.md,authored,359,1090,8529,118,,
review,agent,code-auditor,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/review/agents/code-auditor.md,authored,571,2738,20175,391,,
review,agent,consolidator,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/review/agents/consolidator.md,authored,374,905,6789,159,,
review,agent,security-ops,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/review/agents/security-ops.md,authored,431,2975,21156,433,,
review,agent,tester,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/review/agents/tester.md,authored,393,1495,11167,108,,
web-dev,skill,charting,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/web-dev/skills/charting/SKILL.md,authored,326,973,5994,0,True,True
web-dev,skill,chrome-cdp,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/web-dev/skills/chrome-cdp/SKILL.md,authored,437,571,4194,0,True,True
web-dev,skill,create-next-project,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/web-dev/skills/create-next-project/SKILL.md,authored,397,1902,13567,0,True,True
web-dev,skill,frontend-performance,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/web-dev/skills/frontend-performance/SKILL.md,authored,332,619,4774,0,True,True
web-dev,skill,generative-ui,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/web-dev/skills/generative-ui/SKILL.md,authored,360,991,7405,0,True,True
web-dev,skill,github-stars,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/web-dev/skills/github-stars/SKILL.md,authored,458,333,2425,0,True,True
web-dev,skill,nextjs-upgrade,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/web-dev/skills/nextjs-upgrade/SKILL.md,authored,418,889,6842,0,True,True
web-dev,skill,perf-audit,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/web-dev/skills/perf-audit/SKILL.md,authored,452,239,1743,0,True,True
web-dev,skill,shadscan,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/web-dev/skills/shadscan/SKILL.md,authored,413,723,4955,0,True,True
web-dev,agent,designer,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/web-dev/agents/designer.md,authored,421,4261,33363,544,,
web-dev,agent,mobile,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/web-dev/agents/mobile.md,authored,384,1331,10413,95,,
web-dev,agent,nextjs,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/web-dev/agents/nextjs.md,authored,318,5347,39407,95,,
web-dev,agent,optimizer,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/web-dev/agents/optimizer.md,authored,429,1772,13997,95,,
